TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-388396	GPCR downstream signaling	0.926116449156121	-0.0767552972142501	1058	1	0.05	20	8672	223435	Trio
R-MMU-6803157	Antimicrobial peptides	0.999999999950107	-4.98926045919057e-11	60	0	0	20	8672
R-MMU-5685942	HDR through Homologous Recombination (HRR)	0.999999999950107	-4.98926045919057e-11	60	0	0	20	8672
R-MMU-6782135	Dual incision in TC-NER	0.999999999950107	-4.98926045919057e-11	60	0	0	20	8672
R-MMU-446219	Synthesis of substrates in N-glycan biosythesis	0.999999999950107	-4.98926045919057e-11	60	0	0	20	8672
R-MMU-201722	Formation of the beta-catenin:TCF transactivating complex	0.99999999995673	-4.32701646345536e-11	38	0	0	20	8672
R-MMU-442755	Activation of NMDA receptor upon glutamate binding and postsynaptic events	0.99999999995673	-4.32701646345536e-11	38	0	0	20	8672
R-MMU-427359	SIRT1 negatively regulates rRNA Expression	0.99999999995673	-4.32701646345536e-11	38	0	0	20	8672
R-MMU-983169	Class I MHC mediated antigen processing & presentation	0.999999999960774	-3.92256479661879e-11	213	0	0	20	8672
R-MMU-927802	Nonsense-Mediated Decay (NMD)	0.999999999962392	-3.76080183649233e-11	106	0	0	20	8672
R-MMU-69306	DNA Replication	0.999999999962392	-3.76080183649233e-11	106	0	0	20	8672
R-MMU-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	0.999999999962392	-3.76080183649233e-11	106	0	0	20	8672
R-MMU-1221633	Meiotic Synapsis	0.999999999962392	-3.76080183649233e-11	106	0	0	20	8672
R-MMU-1221632	Meiotic synapsis	0.999999999962392	-3.76080183649233e-11	106	0	0	20	8672
R-MMU-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	0.999999999962392	-3.76080183649233e-11	106	0	0	20	8672
R-MMU-5250913	Positive epigenetic regulation of rRNA expression	0.999999999962392	-3.76080183649233e-11	106	0	0	20	8672
R-MMU-1482801	Acyl chain remodelling of PS	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-156584	Cytosolic sulfonation of small molecules	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-5654688	SHC-mediated cascade:FGFR1	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-6788467	IL-6-type cytokine receptor ligand interactions	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-202131	Metabolism of nitric oxide	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-445144	Signal transduction by L1	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-140875	Common Pathway of Fibrin Clot Formation	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-5654689	PI-3K cascade:FGFR1	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-264876	Insulin processing	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-203765	eNOS activation and regulation	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-3000157	Laminin interactions	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-69618	Mitotic Spindle Checkpoint	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-1368110	Bmal1:Clock,Npas2 activates circadian gene expression	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-5357956	TNFR1-induced NFkappaB signaling pathway	0.999999999962524	-3.7476379483748e-11	21	0	0	20	8672
R-MMU-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	0.999999999962588	-3.74120597590873e-11	122	0	0	20	8672
R-MMU-8868773	rRNA processing in the nucleus and cytosol	0.999999999962588	-3.74120597590873e-11	122	0	0	20	8672
R-MMU-72312	rRNA processing	0.999999999962588	-3.74120597590873e-11	122	0	0	20	8672
R-MMU-983189	Kinesins	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-8849932	SALM protein interactions at the synapses	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-171052	LDL-mediated lipid transport	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-901032	ER Quality Control Compartment (ERQC)	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-389513	CTLA4 inhibitory signaling	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-198753	ERK/MAPK targets	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-71403	Citric acid cycle (TCA cycle)	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-69186	Lagging Strand Synthesis	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-141405	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-5357769	Caspase activation via extrinsic apoptotic signalling pathway	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-2028269	Signaling by Hippo	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-2022870	Chondroitin sulfate biosynthesis	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-5654719	SHC-mediated cascade:FGFR4	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-5654706	FRS-mediated FGFR3 signaling	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-2024096	HS-GAG degradation	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-141430	Inactivation of APC/C via direct inhibition of the APC/C complex	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-5654720	PI-3K cascade:FGFR4	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
